,Unnamed: 0,commit_date,git_project.project_value,transaction.nb_tokens,committer_username,git_project.name
67,67,2018-10-24T07:27:08+00:00,16175,0.1,gilles-hemmerle,SDG Market (frontend)
1,1,2018-10-24T07:52:01+00:00,15055,218.58,gilles-hemmerle,SDG Market (API)
0,0,2018-10-24T08:27:10+00:00,15055,1.0,gilles-hemmerle,SDG Market (API)
148,148,2018-10-24T10:28:42+00:00,16175,6.6,gilles-hemmerle,SDG Market (frontend)
145,145,2018-10-24T10:29:19+00:00,15055,4.7,gilles-hemmerle,SDG Market (API)
147,147,2018-10-24T10:37:35+00:00,16175,0.01,gilles-hemmerle,SDG Market (frontend)
146,146,2018-10-24T11:40:55+00:00,16175,0.4,gilles-hemmerle,SDG Market (frontend)
144,144,2018-10-24T12:17:00+00:00,15055,1.56,gilles-hemmerle,SDG Market (API)
143,143,2018-10-24T13:02:42+00:00,15055,0.66,gilles-hemmerle,SDG Market (API)
153,153,2018-10-25T10:37:36+00:00,15055,0.45,,SDG Market (API)
152,152,2018-10-25T10:39:15+00:00,15055,7.68,gilles-hemmerle,SDG Market (API)
151,151,2018-10-25T10:39:39+00:00,15055,0.45,gilles-hemmerle,SDG Market (API)
150,150,2018-10-25T11:42:34+00:00,15055,0.37,,SDG Market (API)
149,149,2018-10-25T11:43:59+00:00,15055,7.68,,SDG Market (API)
