,commit_date,git_project.project_value,transaction.nb_tokens,committer_username,git_project.name
107,2018-10-14T01:39:48+00:00,16175,0.83,ndoulgeridis,SDG Market (frontend)
108,2018-10-14T01:32:43+00:00,16175,0.25,ndoulgeridis,SDG Market (frontend)
109,2018-10-14T01:32:14+00:00,16175,90.6,ndoulgeridis,SDG Market (frontend)
110,2018-10-11T13:29:35+00:00,16175,185.82,gilles-hemmerle,SDG Market (frontend)
111,2018-10-11T00:43:16+00:00,16175,100.87,ndoulgeridis,SDG Market (frontend)
112,2018-10-10T14:19:10+00:00,16175,250.84,gilles-hemmerle,SDG Market (frontend)
113,2018-10-10T07:36:27+00:00,16175,0.83,gilles-hemmerle,SDG Market (frontend)
114,2018-10-09T23:56:18+00:00,16175,346.76,ndoulgeridis,SDG Market (frontend)
115,2018-10-08T21:47:26+00:00,16175,0.81,ndoulgeridis,SDG Market (frontend)
116,2018-10-08T20:40:57+00:00,16175,69.12,gilles-hemmerle,SDG Market (frontend)
117,2018-10-08T20:40:35+00:00,16175,3.0,gilles-hemmerle,SDG Market (frontend)
118,2018-10-02T09:31:47+00:00,16175,68.73,ashiqur-rony,SDG Market (frontend)
119,2018-09-20T10:23:24+00:00,16175,0.82,ashiqur-rony,SDG Market (frontend)
120,2018-09-20T10:17:41+00:00,16175,483.78,ashiqur-rony,SDG Market (frontend)
121,2018-09-20T10:17:03+00:00,16175,184.8,ashiqur-rony,SDG Market (frontend)
122,2018-09-20T09:37:37+00:00,16175,1.4,gilles-hemmerle,SDG Market (frontend)
123,2018-09-20T08:49:57+00:00,16175,458.34,gilles-hemmerle,SDG Market (frontend)
124,2018-09-20T08:49:21+00:00,16175,443.23,gilles-hemmerle,SDG Market (frontend)
125,2018-09-20T08:08:06+00:00,16175,0.0,gilles-hemmerle,SDG Market (frontend)
126,2018-09-18T12:25:24+00:00,16175,148.72,ashiqur-rony,SDG Market (frontend)
127,2018-09-17T04:12:13+00:00,16175,100.83,,SDG Market (frontend)
128,2018-09-14T13:10:20+00:00,16175,0.3,ashiqur-rony,SDG Market (frontend)
129,2018-09-14T12:47:20+00:00,16175,90.04,ashiqur-rony,SDG Market (frontend)
130,2018-09-13T18:09:41+00:00,16175,17.33,ashiqur-rony,SDG Market (frontend)
131,2018-09-13T12:40:52+00:00,16175,31.86,ashiqur-rony,SDG Market (frontend)
132,2018-09-13T11:26:57+00:00,16175,140.99,ashiqur-rony,SDG Market (frontend)
133,2018-09-08T23:19:02+00:00,16175,129.15,,SDG Market (frontend)
134,2018-09-08T14:56:48+00:00,16175,74.05,,SDG Market (frontend)
135,2018-09-08T14:29:59+00:00,16175,62.11,,SDG Market (frontend)
136,2018-08-26T20:53:43+00:00,16175,29.79,,SDG Market (frontend)
137,2018-08-26T18:10:13+00:00,16175,174.49,,SDG Market (frontend)
138,2018-08-26T17:48:02+00:00,16175,57.59,,SDG Market (frontend)
139,2018-08-26T17:40:14+00:00,16175,49.44,,SDG Market (frontend)
140,2018-08-26T17:37:36+00:00,16175,0.0,,SDG Market (frontend)
141,2018-08-26T17:36:19+00:00,16175,384.86,,SDG Market (frontend)
142,2018-08-26T17:21:08+00:00,16175,345.65,,SDG Market (frontend)
143,2018-10-24T13:02:42+00:00,15055,0.66,gilles-hemmerle,SDG Market (API)
144,2018-10-24T12:17:00+00:00,15055,1.56,gilles-hemmerle,SDG Market (API)
145,2018-10-24T10:29:19+00:00,15055,4.7,gilles-hemmerle,SDG Market (API)
146,2018-10-24T11:40:55+00:00,16175,0.4,gilles-hemmerle,SDG Market (frontend)
147,2018-10-24T10:37:35+00:00,16175,0.01,gilles-hemmerle,SDG Market (frontend)
148,2018-10-24T10:28:42+00:00,16175,6.6,gilles-hemmerle,SDG Market (frontend)
149,2018-10-25T11:43:59+00:00,15055,7.68,,SDG Market (API)
150,2018-10-25T11:42:34+00:00,15055,0.37,,SDG Market (API)
151,2018-10-25T10:39:39+00:00,15055,0.45,gilles-hemmerle,SDG Market (API)
152,2018-10-25T10:39:15+00:00,15055,7.68,gilles-hemmerle,SDG Market (API)
153,2018-10-25T10:37:36+00:00,15055,0.45,,SDG Market (API)
